plant.h,block,treatment,position,source.pop,source pop number,source.fam,field.greenhouse,first.flower,rosette.diameter,height,leaf.length,SLA,branch.length,internode.number,internode.length,biomass,seeds.per.fruit ,fruits
503,14,ho,5,ERL,2,ERL2,G,121,31.00,9,16.285,32.7005,n/a,n/a,n/a,n/a,4.8,82
504,14,ho,6,MLL,6,MLL6,G,99,20.67,13,11.459,33.8930,n/a,n/a,n/a,n/a,5,84
505,15,c,1,SCH,11,SCH16,G,113,33.33,11,15.41,27.1155,76,11,6.90909090909091,4.14,4.6,138
506,15,c,2,ERH,1,ERH19,F,99,21.00,8,14.534,23.3333,63,10,6.3,n/a,4.4,91
507,15,c,3,ILH,4,ILH8,G,92,18.00,7,9.375,26.8485,58,9,6.44444444444444,2.30,5,44
508,15,c,4,SCH,11,SCH12,G,113,26.00,9,13.296,20.0017,54,9,6,3.97,5,87
510,15,c,6,ERH,1,ERH16,F,105,21.67,6,10.597,19.4545,39,10,3.9,2.86,4.8,71
511,15,c,1,NBL,7,NBL19,F,99,20.67,9,10.115,25.8912,71,10,7.1,2.42,5,88
512,15,c,2,NBL,7,NBL2,F,99,19.00,7,11.787,24.1595,64,10,6.4,1.94,5,83
513,15,c,3,NBL,7,NBL12,F,99,20.00,8,12.143,23.2961,57,9,6.33333333333333,2.38,4.8,80
514,15,c,4,PWL,10,PWL4,G,99,18.00,8,8.378,29.5593,59,9,6.55555555555556,2.54,5,97
515,15,c,5,NBL,7,NBL5,F,99,22.00,11,12.53,24.8170,58,9,6.44444444444444,n/a,n/a,n/a
516,15,c,6,WKL,16,WKL12,F,99,19.33,4,10.817,22.5289,57,10,5.7,1.98,5,98
517,15,he,1,SCH,11,SCH16,G,113,40.33,17,23.66,30.0024,74,9,8.22222222222222,n/a,4.6,51
518,15,he,2,ERH,1,ERH13,F,113,31.33,20,17.546,38.8120,59,9,6.55555555555556,2.63,4.6,66
519,15,he,3,ERH,1,ERH16,F,113,29.33,9,17.129,34.6253,65,9,7.22222222222222,2.61,4.8,73
520,15,he,4,ERH,1,ERH19,F,105,28.33,11,18.835,31.6024,61,8,7.625,2.65,5,65
521,15,he,5,SCH,11,SCH12,G,127,33.33,12,22.344,32.4363,75,9,8.33333333333333,3.85,4.6,41
522,15,he,6,ILH,4,ILH8,G,105,23.33,10,12.741,28.8867,69,10,6.9,1.90,5,73
523,15,he,1,WKL,16,WKL12,F,127,28.67,21,21.733,33.1261,78,9,8.66666666666667,2.07,4.6,56
524,15,he,2,NBL,7,NBL5,F,113,29.33,23,15.742,36.5431,79,9,8.77777777777778,2.64,5,39
525,15,he,3,NBL,7,NBL2,F,113,27.00,13,16.142,34.6383,77,9,8.55555555555556,2.10,3.8,63
526,15,he,4,NBL,7,NBL12,F,113,25.33,12,16.056,32.6787,76,9,8.44444444444444,2.95,5,65
527,15,he,5,PWL,10,PWL4,G,105,29.67,11,13.496,32.1996,70,9,7.77777777777778,2.54,n/a,n/a
528,15,he,6,NBL,7,NBL19,F,99,22.33,9,12.593,31.9733,55,9,6.11111111111111,2.20,5,77
529,15,ho,1,SCH,11,SCH12,G,127,44.67,15,23.475,33.6509,68,9,7.55555555555556,n/a,n/a,n/a
530,15,ho,2,ERH,1,ERH13,F,105,31.00,13,18.711,35.5362,66,9,7.33333333333333,n/a,4,66
